original_column_name,column_name,column_description,data_format,value_description
DSID,DSID,,TEXT,
OIL_COMMODITY_VOL_MONTH_ID,OIL_COMMODITY_VOL_MONTH_ID,,TEXT,
ORG_MDM_CODE,ORG_MDM_CODE,,TEXT,
DATA_GROUP,DATA_GROUP,,TEXT,
ORG_ID,ORG_ID,,TEXT,
ORG_NAME,ORG_NAME,,TEXT,
YEAR,YEAR,,TEXT,
MONTH,MONTH,,TEXT,
ENERGY_SORT,ENERGY_SORT,,TEXT,
MONTH_MERCHANDISE_VOLUME,MONTH_MERCHANDISE_VOLUME,,DOUBLE,
REMARKS,REMARKS,,TEXT,
CREATE_APP_ID,CREATE_APP_ID,,TEXT,
CREATE_USER_ID,CREATE_USER_ID,,TEXT,
CREATE_DATE,CREATE_DATE,,DATE,
UPDATE_USER_ID,UPDATE_USER_ID,,TEXT,
UPDATE_DATE,UPDATE_DATE,,DATE,
CHECK_DATE,CHECK_DATE,,DATE,
CHECK_USER_ID,CHECK_USER_ID,,TEXT,
DATA_REGION,DATA_REGION,,TEXT,
BSFLAG,BSFLAG,,BIGINT,
SOURCE_CREATE_DATE,SOURCE_CREATE_DATE,,DATE,
