original_column_name,column_name,column_description,data_format,value_description
ZZAORGC,ZZAORGC,,TEXT,
ZZORG,ZZORG,,TEXT,
ZZCREDCO,ZZCREDCO,,TEXT,
ZZMICCD,ZZMICCD,,TEXT,
ZZORGSJNO,ZZORGSJNO,,TEXT,
ZZRDATE,ZZRDATE,,TEXT,
ZZORGCJDM,ZZORGCJDM,,TEXT,
ZZCTRY,ZZCTRY,,TEXT,
ZZRGNCD,ZZRGNCD,,TEXT,
ZZJGSDATE,ZZJGSDATE,,TEXT,
ZZJGEDATE,ZZJGEDATE,,TEXT,
ZZPZDATE,ZZPZDATE,,TEXT,
ZZBIZNTRC,ZZBIZNTRC,,TEXT,
ZZBIZNTR,ZZBIZNTR,,TEXT,
ZZPROFTTY,ZZPROFTTY,,TEXT,
ZZENTERTY,ZZENTERTY,,TEXT,
ZZVENTUTY,ZZVENTUTY,,TEXT,
ZZENTERN,ZZENTERN,,TEXT,
ZZLEGALH,ZZLEGALH,,TEXT,
ZZBDATE,ZZBDATE,,TEXT,
ZZCCURRCY,ZZCCURRCY,,TEXT,
ZZJGPX,ZZJGPX,,TEXT,
ZZBBDATE,ZZBBDATE,,TEXT,
ZZBEDATE,ZZBEDATE,,TEXT,
ZZGMIND,ZZGMIND,,TEXT,
ZZOSTATUS,ZZOSTATUS,,TEXT,
ZZPROFT,ZZPROFT,,TEXT,
ZZORGTYPE,ZZORGTYPE,,TEXT,
ZZCNPCC,ZZCNPCC,,TEXT,
ZZREGISTC,ZZREGISTC,,TEXT,
ZZREGADD,ZZREGADD,,TEXT,
ZZORGMC,ZZORGMC,,TEXT,
ZZORGJC,ZZORGJC,,TEXT,
ZZCITY1,ZZCITY1,,TEXT,
ZZVORGF,ZZVORGF,,TEXT,
