original_column_name,column_name,column_description,data_format,value_description
ID,ID,,DOUBLE,
PKID,PKID,,DOUBLE,
DESCRIPTION,DESCRIPTION,,TEXT,
ACCOUNT,ACCOUNT,,TEXT,
USERNAME,USERNAME,,TEXT,
CREATETIME,CREATETIME,,DATETIME,
SUBMITTIME,SUBMITTIME,,DATETIME,
WORKPLACE,WORKPLACE,,TEXT,
POSTADDRESS,POSTADDRESS,,TEXT,
CONTACTS,CONTACTS,,TEXT,
TEL,TEL,,TEXT,
EVALUATIONLEVEL,EVALUATIONLEVEL,,DOUBLE,
EVALUATIONTIME,EVALUATIONTIME,,DATETIME,
EVALUATION,EVALUATION,,TEXT,
PACKAGETYPE,PACKAGETYPE,,TEXT,
WRITESTATUS,WRITESTATUS,,DOUBLE,
REMARKS,REMARKS,,TEXT,
EVASTATUS,EVASTATUS,,DOUBLE,
RELATIONS,RELATIONS,,TEXT,
